date,sentiment_avg,sentiment_std,post_count,finbert_confidence,finbert_confidence,positive_count,negative_count,neutral_count,total_posts,%pos,%neg,%neu,sentiment_momentum,Open,Close,High,Low,Volume,daily_return,volatility,price_change,volume_ma,volume_spike
2025-04-04,0.0,0.0,5,552.4,0.8292027950286865,0,0,5,5,0.0,0.0,1.0,,255.3800048828125,239.42999267578125,261.0,236.0,181229400,-0.06245599460439478,0.0978933335500243,,,
2025-04-07,0.0,0.7071067811865476,5,208.6,0.8712350964546204,1,1,3,5,0.2,0.2,0.6,0.0,223.77999877929688,233.2899932861328,252.0,214.25,183453800,0.04249707104617144,0.16869246673484414,-0.025644236634809525,,
2025-04-08,-0.1111111111111111,0.6009252125773316,9,168.77777777777777,0.8722987439897325,1,2,6,9,0.1111111111111111,0.2222222222222222,0.6666666666666666,-0.1111111111111111,245.0,221.86000061035156,250.44000244140625,217.8000030517578,171603500,-0.09444897710060587,0.1332244873046875,-0.048994783337158565,178762233.33333334,0.9599538828764539
2025-04-09,0.0,0.0,1,0.0,0.9297681450843811,0,0,1,1,0.0,0.0,1.0,0.1111111111111111,224.69000244140625,272.20001220703125,274.69000244140625,223.8800048828125,219433400,0.21144692353641534,0.2261337710023114,0.22689989839624536,191496900.0,1.1458848681101366
2025-04-10,0.0,0.0,1,0.0,0.8588786721229553,0,0,1,1,0.0,0.0,1.0,0.0,260.0,252.39999389648438,262.489990234375,239.3300018310547,181722600,-0.029230792705829328,0.0890768784743089,-0.07274069589492627,190919833.33333334,0.9518267265754649
2025-04-11,0.0,0.0,7,186.85714285714286,0.8156792947224208,0,0,7,7,0.0,0.0,1.0,0.0,251.83999633789062,252.30999755859375,257.739990234375,241.36000061035156,128948100,0.0018662691690661008,0.06504125580611353,-0.00035656236159631316,176701366.66666666,0.7297515714366292
2025-04-14,0.0,0.0,3,131.33333333333334,0.7362417578697205,0,0,3,3,0.0,0.0,1.0,0.0,258.3599853515625,252.35000610351562,261.79998779296875,245.92999267578125,100135200,-0.023262035875520025,0.061425901908116524,0.00015856900364230597,136935300.0,0.7312592151183808
2025-04-15,0.0,0.0,3,52.333333333333336,0.8058420618375143,0,0,3,3,0.0,0.0,1.0,0.0,249.91000366210938,254.11000061035156,258.75,247.5399932861328,79594300,0.016806037720365888,0.04485617442118751,0.0069744183248166,102892533.33333333,0.7735673077670683
2025-04-16,0.2,0.447213595499958,5,259.2,0.8503982424736023,1,0,4,5,0.2,0.0,0.8,0.2,247.61000061035156,241.5500030517578,251.97000122070312,233.88999938964844,112378700,-0.024473961244117885,0.07301805979761722,-0.049427403598542585,97369400.0,1.1541480177550647
2025-04-17,0.3333333333333333,0.5773502691896258,3,216.33333333333334,0.8912346164385477,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,0.1333333333333333,243.47000122070312,241.3699951171875,244.33999633789062,237.67999267578125,83404800,-0.008625317669473335,0.027354514431829933,-0.0007452201709629014,91792600.0,0.9086222636683131
2025-04-21,0.0,0.0,1,182.0,0.7339215278625488,0,0,1,1,0.0,0.0,1.0,0.0,230.25999450683594,227.5,232.2100067138672,222.7899932861328,97768000,-0.01198642652948556,0.04091033463242228,-0.05746362595919796,97850500.0,0.9991568770726772
2025-04-22,0.0,0.0,1,58.0,0.8123892545700073,0,0,1,1,0.0,0.0,1.0,0.0,230.9600067138672,237.97000122070312,242.7899932861328,229.85000610351562,120858500,0.030351551364130813,0.05602696054061143,0.04602198338770602,100677100.0,1.2004567076326196
2025-04-23,0.0,0.0,3,182.33333333333334,0.9207736452420553,0,0,3,3,0.0,0.0,1.0,0.0,254.86000061035156,250.74000549316406,259.45001220703125,244.42999267578125,150381900,-0.016165718854746637,0.05893439337392804,0.0536622440095611,123002800.0,1.2225892418709168
2025-04-24,0.0,0.0,1,198.0,0.7233045101165771,0,0,1,1,0.0,0.0,1.0,0.0,250.5,259.510009765625,259.5400085449219,249.1999969482422,94464200,0.03596810285678643,0.041277491403910925,0.0349764859229853,121901533.33333333,0.774922163954186
2025-04-25,0.0,0.0,1,198.0,0.9162676334381104,0,0,1,1,0.0,0.0,1.0,0.0,261.69000244140625,284.95001220703125,286.8500061035156,259.6300048828125,167560700,0.08888383029012749,0.1040162060711426,0.09803091011549903,137468933.33333334,1.2188986699540356
2025-04-28,0.0,0.0,1,67.0,0.9354349374771118,0,0,1,1,0.0,0.0,1.0,-0.3333333333333333,288.9800109863281,285.8800048828125,294.8599853515625,272.4200134277344,151731800,-0.01072740669133094,0.07765233258604097,0.0032637046356942534,137918900.0,1.1001523359017509
2025-04-29,0.0,0.0,1,69.0,0.8171890377998352,0,0,1,1,0.0,0.0,1.0,0.0,285.5,292.0299987792969,293.32000732421875,279.4700012207031,108906600,0.022872149839919,0.04851140491599168,0.021512501019458785,142733033.33333334,0.7630090768523333
2025-04-30,0.0,0.0,1,998.0,0.6142714023590088,0,0,1,1,0.0,0.0,1.0,0.0,279.8999938964844,282.1600036621094,284.45001220703125,270.7799987792969,128961100,0.008074347320138996,0.04883892006367805,-0.03379788089732105,129866500.0,0.9930282251388927
2025-05-02,-1.0,0.0,1,527.0,0.8244185447692871,0,1,0,1,0.0,1.0,0.0,-1.0,284.8999938964844,287.2099914550781,294.7799987792969,279.80999755859375,114454700,0.00810809971246635,0.05254475795511013,0.023848576584252656,114358266.66666667,1.0008432563394338
2025-05-06,-0.5,0.7071067811865476,2,675.5,0.891305536031723,0,1,1,2,0.0,0.5,0.5,-0.5,273.1099853515625,275.3500061035156,277.7300109863281,271.3500061035156,76715800,0.008201899864882805,0.02336056982537566,-0.017519458684867262,95263133.33333333,0.8053041855296244
2025-05-07,-0.5,0.5773502691896257,4,372.5,0.8354597240686417,0,2,2,4,0.0,0.5,0.5,0.0,276.8800048828125,276.2200012207031,277.9200134277344,271.0,71592600,-0.0023837173160579685,0.024992824709979405,0.003159597232260225,80975766.66666667,0.8841237687159903
2025-05-09,0.0,0.0,1,1343.0,0.8912639021873474,0,0,1,1,0.0,0.0,1.0,0.5,290.2099914550781,298.260009765625,307.0400085449219,290.0,132387800,0.02773859807577626,0.0587161333056981,0.04718770485146129,100506600.0,1.3172050392710528
2025-05-13,0.0,0.0,3,502.0,0.9033168355623881,0,0,3,3,0.0,0.0,1.0,0.0,320.0,334.07000732421875,337.5899963378906,316.79998779296875,136992600,0.04396877288818359,0.06496877670288086,0.049280740626853614,127402366.66666667,1.0752751584154245
2025-05-14,0.0,0.0,1,1392.0,0.8409761786460876,0,0,1,1,0.0,0.0,1.0,0.0,342.5,347.67999267578125,350.0,337.0,136997300,0.015124066206660585,0.03795620437956204,0.04073991993646375,128938866.66666667,1.0624980934117099
2025-05-16,0.0,0.0,1,49.0,0.9261895418167114,0,0,1,1,0.0,0.0,1.0,0.0,346.239990234375,349.9800109863281,351.6199951171875,342.3299865722656,95895700,0.010801816247226235,0.02683112525111074,0.0208856061756566,110258533.33333333,0.8697349502200283
2025-05-19,1.0,0.0,1,161.0,0.9428091049194336,1,0,0,1,1.0,0.0,0.0,0.6666666666666667,336.29998779296875,342.0899963378906,343.0,333.3699951171875,88869900,0.017216796773975175,0.028635162748625712,-0.022544186527114873,94216066.66666667,0.9432563165093568
2025-05-20,0.0,0.0,2,227.5,0.7919729053974152,0,0,2,2,0.0,0.0,1.0,-1.0,347.8699951171875,343.82000732421875,354.989990234375,341.6300048828125,131715500,-0.011642245234759107,0.03840510977976672,0.005057180873010214,105493700.0,1.2485627103798616
2025-05-21,0.0,0.0,2,757.0,0.9097984433174133,0,0,2,2,0.0,0.0,1.0,0.0,344.42999267578125,334.6199951171875,347.3500061035156,332.20001220703125,102354800,-0.028481833078422107,0.043985698744723904,-0.026758222357769146,107646733.33333333,0.9508398149254877
2025-05-22,0.0,0.0,3,612.0,0.8907477855682373,0,0,3,3,0.0,0.0,1.0,0.0,331.8999938964844,341.0400085449219,347.2699890136719,331.3900146484375,97113400,0.02753845982681205,0.047845660311121155,0.019185982671137136,110394566.66666667,0.8796936564208927
2025-05-23,0.0,0.0,1,899.0,0.8945251107215881,0,0,1,1,0.0,0.0,1.0,0.0,337.9200134277344,339.3399963378906,343.17999267578125,333.2099914550781,84654800,0.004202127289687503,0.029504027061230134,-0.004984788190348977,94707666.66666667,0.8938537182839826
2025-05-28,0.0,0.0,2,376.0,0.9399059414863586,0,0,2,2,0.0,0.0,1.0,-1.0,364.8399963378906,356.8999938964844,365.0,355.9100036621094,91404300,-0.021762971497381406,0.024915021459083867,-0.016506435862546853,98735166.66666667,0.9257522226967426
2025-05-29,0.0,0.0,2,367.0,0.8830802142620087,0,0,2,2,0.0,0.0,1.0,0.0,365.2900085449219,358.42999267578125,367.7099914550781,356.0,88545700,-0.018779642773330902,0.0320566979144136,0.004286911755287504,100032133.33333333,0.8851725645492582
2025-05-30,0.0,0.0,1,1187.0,0.9103438258171082,0,0,1,1,0.0,0.0,1.0,0.0,355.5199890136719,346.4599914550781,363.67999267578125,345.2900085449219,123474900,-0.02548379230019986,0.05172700466682387,-0.03339564619395741,101141633.33333333,1.2208118054912436
2025-06-02,1.0,0.0,1,543.0,0.9531757235527039,1,0,0,1,1.0,0.0,0.0,1.0,343.5,342.69000244140625,348.0199890136719,333.3299865722656,81873800,-0.0023580714951783113,0.042765654851255455,-0.01088145559849063,97964800.0,0.8357471254981381
2025-06-03,0.0,0.0,1,294.0,0.7726694345474243,0,0,1,1,0.0,0.0,1.0,-1.0,346.6000061035156,344.2699890136719,355.3999938964844,343.0400085449219,99324500,-0.006722495813078164,0.035660661090326305,0.004610541775392996,101557733.33333333,0.9780102089714487
2025-06-04,0.0,0.0,1,164.0,0.8460674285888672,0,0,1,1,0.0,0.0,1.0,0.0,345.1000061035156,332.04998779296875,345.6000061035156,327.3299865722656,98912100,-0.03781517844028207,0.05294123213017202,-0.03549540073392177,93370133.33333333,1.0593548115314533
2025-06-05,0.0,0.0,1,308.0,0.8011155724525452,0,0,1,1,0.0,0.0,1.0,0.0,322.489990234375,284.70001220703125,324.54998779296875,273.2099914550781,287499800,-0.11718186353591704,0.15919872830960868,-0.14259893789082123,161912133.33333334,1.7756532143771806
2025-06-09,1.0,0.0,1,614.0,0.8788840174674988,1,0,0,1,1.0,0.0,0.0,0.5,285.9599914550781,308.5799865722656,309.8299865722656,281.8500061035156,140908900,0.079101957592347,0.09784578718993778,0.04553761352840424,197718800.0,0.7126732511020702
2025-06-10,0.0,0.0,3,1007.6666666666666,0.9182110627492269,0,0,3,3,0.0,0.0,1.0,-1.0,314.94000244140625,326.0899963378906,327.8299865722656,310.6700134277344,151256500,0.035403549279386326,0.0544864831761847,0.05674382827003055,152304366.66666666,0.9931199171133418
2025-06-11,0.0,0.0,2,158.5,0.9228965938091278,0,0,2,2,0.0,0.0,1.0,0.0,334.3999938964844,326.42999267578125,335.5,322.5,122611400,-0.023833736142860964,0.03887559879568728,0.0010426457165473302,138258933.33333334,0.8868244318390035
2025-06-12,0.0,0.0,1,553.0,0.9333555102348328,0,0,1,1,0.0,0.0,1.0,0.0,323.0799865722656,319.1099853515625,332.55999755859375,316.8599853515625,105127500,-0.012287982498770863,0.04859481509084288,-0.022424432461661592,126331800.0,0.8321538994932393
2025-06-13,0.0,0.0,1,361.0,0.9169343709945679,0,0,1,1,0.0,0.0,1.0,0.0,313.9700012207031,325.30999755859375,332.989990234375,313.29998779296875,128964300,0.03611808865114871,0.06271300558923555,0.019429076154419578,118901066.66666667,1.0846353495006493
2025-06-18,0.3333333333333333,0.5773502691896258,3,457.3333333333333,0.8495154976844788,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,317.30999755859375,322.04998779296875,329.32000732421875,315.45001220703125,95137700,0.01493804251629268,0.04371118220007013,0.0180179597897272,89115433.33333333,1.0675782683358626
2025-06-20,0.3333333333333333,0.5773502691896258,3,294.0,0.8106677333513895,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,327.95001220703125,322.1600036621094,332.3599853515625,317.7799987792969,108688000,-0.01765515575363573,0.04445795404654975,0.0003416111576173275,97369466.66666667,1.1162431480915989
2025-06-23,0.25,0.5,4,534.5,0.8192789256572723,1,0,3,4,0.25,0.0,0.75,0.15,327.5400085449219,348.67999267578125,357.5400085449219,327.4800109863281,190716800,0.06454168522731794,0.09177504052751785,0.0823193093872907,131514166.66666667,1.4501616429155286
2025-06-26,0.0,0.0,1,263.0,0.9291750192642212,0,0,1,1,0.0,0.0,1.0,-0.25,324.6099853515625,325.7799987792969,331.04998779296875,323.6099853515625,80440900,0.0036043667186245513,0.022919820021397374,-0.0054037218123500486,105007400.0,0.7660498212506928
2025-06-27,-0.25,0.5,4,345.0,0.7388716042041779,0,1,3,4,0.0,0.25,0.75,-0.25,324.510009765625,323.6300048828125,329.3399963378906,317.5,89067000,-0.002711795803920123,0.03648576617541621,-0.006599526995335614,96451000.0,0.9234429917782087
2025-07-01,0.0,0.0,2,288.0,0.9233516752719879,0,0,2,2,0.0,0.0,1.0,-0.16666666666666666,298.4599914550781,300.7099914550781,305.8900146484375,293.2099914550781,145085700,0.007538698868919095,0.04248483400250942,-0.05335897504131726,103615933.33333333,1.4002257696531872
2025-07-02,0.0,0.0,2,204.0,0.9137094616889954,0,0,2,2,0.0,0.0,1.0,0.0,312.6300048828125,315.6499938964844,316.8299865722656,303.82000732421875,119483700,0.009659946155212772,0.041614621261076935,0.04968242780731846,113754833.33333333,1.0503615231001173
2025-07-03,0.3333333333333333,0.5773502691896258,3,395.6666666666667,0.8107280929883321,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,317.989990234375,315.3500061035156,318.45001220703125,312.760009765625,58042300,-0.008302098216719246,0.01789365268137033,-0.0009503811144286889,107537233.33333333,0.5397414290926212
2025-07-07,0.0,0.0,1,61.0,0.7418758869171143,0,0,1,1,0.0,0.0,1.0,0.0,291.3699951171875,293.94000244140625,296.1499938964844,288.7699890136719,131177900,0.008820425463456202,0.025328637150315702,-0.06789282780315342,102901300.0,1.2747934185476764
2025-07-09,0.0,0.0,1,2894.0,0.8866025805473328,0,0,1,1,0.0,0.0,1.0,0.0,297.54998779296875,295.8800048828125,300.1499938964844,293.54998779296875,75586800,-0.0056124448955387,0.022181167448434982,-0.0064806174796113725,103337133.33333333,0.7314582625026048
2025-07-10,0.0,0.0,4,1074.75,0.789052739739418,0,0,4,4,0.0,0.0,1.0,0.0,300.04998779296875,309.8699951171875,310.4800109863281,300.0,104365300,0.032727904428359614,0.034927550117279854,0.0472826483827995,94399600.0,1.1055693032597596
2025-07-11,0.0,0.0,1,80.0,0.8972144722938538,0,0,1,1,0.0,0.0,1.0,0.0,307.8900146484375,313.510009765625,314.0899963378906,305.6499938964844,78921900,0.01825325554518116,0.027412394166285062,0.01174690904506881,86291333.33333333,0.9145982215286201
